date,indicator,actual,target,unit,source_url,fetched_at_utc
2026-05-20,Gas Production,6402,5508,MMSCFD,https://www.esdm.go.id/en,2026-05-23T05:36:36+00:00
2026-05-23,Gas Production,6234,5508,MMSCFD,https://www.esdm.go.id/en,2026-05-25T06:23:45+00:00
2026-05-24,Gas Production,6286,5508,MMSCFD,https://www.esdm.go.id/en,2026-05-28T06:07:11+00:00
2026-05-27,Gas Production,6283,5508,MMSCFD,https://www.esdm.go.id/en,2026-06-01T06:50:46+00:00
2026-05-31,Gas Production,6487,5508,MMSCFD,https://www.esdm.go.id/en,2026-06-02T06:38:24+00:00
2026-06-01,Gas Production,6595,5508,MMSCFD,https://www.esdm.go.id/en,2026-06-03T13:03:37+00:00
2026-06-02,Gas Production,6454,5508,MMSCFD,https://www.esdm.go.id/en,2026-06-07T06:19:39+00:00
2026-06-06,Gas Production,6268,5508,MMSCFD,https://www.esdm.go.id/en,2026-06-09T06:05:31+00:00
2026-06-08,Gas Production,6253,5508,MMSCFD,https://www.esdm.go.id/en,2026-06-10T06:19:44+00:00
2026-06-09,Gas Production,6237,5508,MMSCFD,https://www.esdm.go.id/en,2026-06-11T06:44:51+00:00
2026-06-10,Gas Production,6267,5508,MMSCFD,https://www.esdm.go.id/en,2026-06-14T06:33:34+00:00
2026-06-13,Gas Production,6251,5508,MMSCFD,https://www.esdm.go.id/en,2026-06-16T07:22:11+00:00
2026-06-15,Gas Production,6259,5508,MMSCFD,https://www.esdm.go.id/en,2026-06-17T07:05:02+00:00
2026-06-16,Gas Production,6228,5508,MMSCFD,https://www.esdm.go.id/en,2026-06-18T06:48:38+00:00
2026-06-17,Gas Production,6242,5508,MMSCFD,https://www.esdm.go.id/en,2026-06-21T06:47:20+00:00
2026-06-20,Gas Production,6200,5508,MMSCFD,https://www.esdm.go.id/en,2026-06-22T07:18:56+00:00
